method,protein,mean,stddev
SADE-DE,1ZDD,652.54,3.29
SADE-DE,1CRN,817.04,4.07
SADE-DE,1ENH,1092.27,5.76
SADE-DE,1AIL,1468.05,10.35
SADE-DE-MC,1ZDD,674.94,33.25
SADE-DE-MC,1CRN,955.79,38.61
SADE-DE-MC,1ENH,1218.09,59.15
SADE-DE-MC,1AIL,1699.88,77.13
SADE-DE-REMC,1ZDD,532.41,8.29
SADE-DE-REMC,1CRN,720.36,13.90
SADE-DE-REMC,1ENH,906.96,21.41
SADE-DE-REMC,1AIL,1229.20,38.15
SADE-MC,1ZDD,463.91,17.62
SADE-MC,1CRN,756.96,47.22
SADE-MC,1ENH,914.89,62.68
SADE-MC,1AIL,1345.86,93.59
SADE-REMC,1ZDD,364.97,9.48
SADE-REMC,1CRN,565.72,12.49
SADE-REMC,1ENH,680.94,20.52
SADE-REMC,1AIL,1012.00,31.21
